t,p,n,nu_0,mu,gamma,no_edges,bic value,Precision_1,Precision_2,Precision_3,precision_avg,Recall_1,Recall_2,Recall_3,recall_avg,F1_1,F1_2,F1_3,F1_avg,Time(sec),mask_diag
3,65,1000,0.0001,1.1357333583431052e-07,1,6233.0,177825.19454725014,0.2492179353493222,0.27481713688610243,0.30031282586027114,0.2747826086956522,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.4307944307944308,0.4619085805934242,0.43098745226404805,2.462488889694214,True
3,65,1000,0.0001,1.2750512407130128e-07,1,6232.0,177801.58924301597,0.2492179353493222,0.27481713688610243,0.30094043887147337,0.27497389488339713,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.4307944307944308,0.46265060240963857,0.43122270742358076,2.4739303588867188,True
3,65,1000,0.0001,1.4314589375234786e-07,1,6232.0,177801.58924301597,0.2492179353493222,0.27481713688610243,0.30094043887147337,0.27497389488339713,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.4307944307944308,0.46265060240963857,0.43122270742358076,2.411437511444092,True
3,65,1000,0.0001,1.6070528182616385e-07,1,6232.0,177801.58924301597,0.2492179353493222,0.27481713688610243,0.30094043887147337,0.27497389488339713,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3989983305509182,0.4307944307944308,0.46265060240963857,0.43122270742358076,2.4557015895843506,True
3,65,1000,0.0001,1.804186409392072e-07,1,6231.0,177777.98447021528,0.24947807933194155,0.27481713688610243,0.30094043887147337,0.27506963788300837,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3993316624895572,0.4307944307944308,0.46265060240963857,0.4313404313404314,2.481102228164673,True
3,65,1000,0.0001,2.0255019392306663e-07,1,6231.0,177777.98447021528,0.24947807933194155,0.27481713688610243,0.30094043887147337,0.27506963788300837,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3993316624895572,0.4307944307944308,0.46265060240963857,0.4313404313404314,2.467916488647461,True
3,65,1000,0.0001,2.2739657523579275e-07,1,6230.0,177754.37913093777,0.24947807933194155,0.27481713688610243,0.30157068062827225,0.27526132404181186,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3993316624895572,0.4307944307944308,0.46339501206757844,0.43157607211144494,2.4438443183898926,True
3,65,1000,0.0001,2.5529080682395163e-07,1,6230.0,177754.37913093777,0.24947807933194155,0.27481713688610243,0.30157068062827225,0.27526132404181186,1.0,0.9962121212121212,1.0,0.9987357774968394,0.3993316624895572,0.4307944307944308,0.46339501206757844,0.43157607211144494,2.4569456577301025,True
3,65,1000,0.0001,2.8660676169482504e-07,1,6228.0,177707.16876271967,0.24947807933194155,0.27481713688610243,0.3008385744234801,0.2750087138375741,1.0,0.9962121212121212,0.9965277777777778,0.9974715549936789,0.3993316624895572,0.4307944307944308,0.46215780998389694,0.4311475409836066,2.4525511264801025,True
3,65,1000,0.0001,3.2176417502507355e-07,1,6228.0,177707.16876271967,0.24947807933194155,0.27481713688610243,0.3008385744234801,0.2750087138375741,1.0,0.9962121212121212,0.9965277777777778,0.9974715549936789,0.3993316624895572,0.4307944307944308,0.46215780998389694,0.4311475409836066,2.4333348274230957,True
3,65,1000,0.0001,3.6123426997094305e-07,1,6228.0,177707.16876271967,0.24947807933194155,0.27481713688610243,0.3008385744234801,0.2750087138375741,1.0,0.9962121212121212,0.9965277777777778,0.9974715549936789,0.3993316624895572,0.4307944307944308,0.46215780998389694,0.4311475409836066,2.4877681732177734,True
3,65,1000,0.0001,4.0554607358408276e-07,1,6225.0,177636.3528855824,0.2497387669801463,0.27481713688610243,0.3008385744234801,0.27510460251046026,1.0,0.9962121212121212,0.9965277777777778,0.9974715549936789,0.3996655518394649,0.4307944307944308,0.46215780998389694,0.43126537305274665,2.433222532272339,True
3,65,1000,0.0001,4.5529350748669477e-07,1,6225.0,177636.3528855824,0.2497387669801463,0.27481713688610243,0.3008385744234801,0.27510460251046026,1.0,0.9962121212121212,0.9965277777777778,0.9974715549936789,0.3996655518394649,0.4307944307944308,0.46215780998389694,0.43126537305274665,2.448638677597046,True
3,65,1000,0.0001,5.111433483440166e-07,1,6224.0,177612.74798650347,0.2497387669801463,0.27481713688610243,0.3008385744234801,0.27510460251046026,1.0,0.9962121212121212,0.9965277777777778,0.9974715549936789,0.3996655518394649,0.4307944307944308,0.46215780998389694,0.43126537305274665,2.4213204383850098,True
3,65,1000,0.0001,5.738441648302393e-07,1,6222.0,177589.14276840247,0.2497387669801463,0.27481713688610243,0.3008385744234801,0.27510460251046026,1.0,0.9962121212121212,0.9965277777777778,0.9974715549936789,0.3996655518394649,0.4307944307944308,0.46215780998389694,0.43126537305274665,2.4589390754699707,True
3,65,1000,0.0001,6.44236350872137e-07,1,6222.0,177589.14276840247,0.2497387669801463,0.27481713688610243,0.3008385744234801,0.27510460251046026,1.0,0.9962121212121212,0.9965277777777778,0.9974715549936789,0.3996655518394649,0.4307944307944308,0.46215780998389694,0.43126537305274665,2.4504220485687256,True
3,65,1000,0.0001,7.232633896483533e-07,1,6220.0,177541.932147839,0.2497387669801463,0.2743455497382199,0.3008385744234801,0.2749476622470342,1.0,0.9924242424242424,0.9965277777777778,0.9962073324905183,0.3996655518394649,0.4298605414273995,0.46215780998389694,0.4309543341536779,2.4283158779144287,True
3,65,1000,0.0001,8.119844993184009e-07,1,6219.0,177518.32672011852,0.2497387669801463,0.2743455497382199,0.3008385744234801,0.2749476622470342,1.0,0.9924242424242424,0.9965277777777778,0.9962073324905183,0.3996655518394649,0.4298605414273995,0.46215780998389694,0.4309543341536779,2.4447641372680664,True
3,65,1000,0.0001,9.115888299750819e-07,1,6218.0,177494.7214175034,0.2497387669801463,0.2743455497382199,0.3008385744234801,0.2749476622470342,1.0,0.9924242424242424,0.9965277777777778,0.9962073324905183,0.3996655518394649,0.4298605414273995,0.46215780998389694,0.4309543341536779,2.4513425827026367,True
3,65,1000,0.0001,1.0234114021054527e-06,1,6216.0,177447.51148401297,0.2497387669801463,0.27358490566037735,0.3008385744234801,0.27469458987783596,1.0,0.9886363636363636,0.9965277777777778,0.9949431099873578,0.3996655518394649,0.42857142857142855,0.46215780998389694,0.43052516411378555,2.4424097537994385,True
3,65,1000,0.0001,1.148951000187311e-06,1,6214.0,177400.30068067042,0.25,0.27358490566037735,0.3008385744234801,0.2747905027932961,1.0,0.9886363636363636,0.9965277777777778,0.9949431099873578,0.4,0.42857142857142855,0.46215780998389694,0.43064295485636117,2.4538803100585938,True
3,65,1000,0.0001,1.289890261253308e-06,1,6213.0,177376.695039697,0.25,0.27358490566037735,0.3008385744234801,0.2747905027932961,1.0,0.9886363636363636,0.9965277777777778,0.9949431099873578,0.4,0.42857142857142855,0.46215780998389694,0.43064295485636117,2.442394971847534,True
