rd_seed,T,n/p,p,lambda(sparsity),mu0(thresh),gamma,bic,recall,precision,f1,max_error,norm_error,time (mins)
1998,10,20,250,2.097046e-05,5.000000e-04,1.000000e+00,20714749.454,0.996,0.009,0.018,21.552,0.826,0.117 
1998,10,20,250,1.933892e-05,5.000000e-04,1.000000e+00,20883045.938,0.997,0.009,0.017,21.552,0.826,0.115 
1998,10,20,250,1.783431e-05,5.000000e-04,1.000000e+00,21068693.370,0.998,0.009,0.017,21.552,0.826,0.114 
1998,10,20,250,1.644676e-05,5.000000e-04,1.000000e+00,21193928.708,0.997,0.008,0.017,21.552,0.826,0.115 
1998,10,20,250,1.516717e-05,5.000000e-04,1.000000e+00,21326960.065,0.996,0.008,0.017,21.552,0.826,0.114 
1998,10,20,250,1.398713e-05,5.000000e-04,1.000000e+00,21429738.523,0.997,0.008,0.016,21.552,0.826,0.113 
1998,10,20,250,1.289890e-05,5.000000e-04,1.000000e+00,21498562.234,0.997,0.008,0.016,21.552,0.826,0.113 
1998,10,20,250,1.189534e-05,5.000000e-04,1.000000e+00,21560201.012,0.998,0.008,0.016,21.552,0.826,0.112 
1998,10,20,250,1.096986e-05,5.000000e-04,1.000000e+00,21600540.048,0.998,0.008,0.016,21.552,0.826,0.112 
1998,10,20,250,1.011638e-05,5.000000e-04,1.000000e+00,21646293.890,0.997,0.008,0.016,21.552,0.826,0.113 
1998,10,20,250,9.329304e-06,5.000000e-04,1.000000e+00,21695071.400,0.999,0.008,0.016,21.552,0.826,0.113 
1998,10,20,250,8.603464e-06,5.000000e-04,1.000000e+00,21719999.659,0.999,0.008,0.016,21.552,0.826,0.112 
1998,10,20,250,7.934097e-06,5.000000e-04,1.000000e+00,21767901.513,0.999,0.008,0.016,21.552,0.826,0.112 
1998,10,20,250,7.316807e-06,5.000000e-04,1.000000e+00,21788888.625,1.000,0.008,0.016,21.552,0.826,0.112 
1998,10,20,250,6.747544e-06,5.000000e-04,1.000000e+00,21814174.783,0.999,0.008,0.016,21.552,0.826,0.111 
1998,10,20,250,6.222571e-06,5.000000e-04,1.000000e+00,21830292.638,0.999,0.008,0.016,21.552,0.826,0.112 
1998,10,20,250,5.738442e-06,5.000000e-04,1.000000e+00,21831119.441,0.999,0.008,0.016,21.552,0.826,0.111 
1998,10,20,250,5.291979e-06,5.000000e-04,1.000000e+00,21837157.910,0.998,0.008,0.016,21.552,0.826,0.111 
1998,10,20,250,4.880252e-06,5.000000e-04,1.000000e+00,21849325.439,1.000,0.008,0.016,21.552,0.826,0.111 
1998,10,20,250,4.500558e-06,5.000000e-04,1.000000e+00,21841610.164,1.000,0.008,0.016,21.552,0.826,0.111 
1998,10,20,250,4.150405e-06,5.000000e-04,1.000000e+00,21844921.495,1.000,0.008,0.016,21.552,0.826,0.110 
1998,10,20,250,3.827494e-06,5.000000e-04,1.000000e+00,21844872.654,1.000,0.008,0.016,21.552,0.826,0.112 
1998,10,20,250,3.529707e-06,5.000000e-04,1.000000e+00,21843298.791,1.000,0.008,0.016,21.552,0.826,0.110 
1998,10,20,250,3.255089e-06,5.000000e-04,1.000000e+00,21855806.655,1.000,0.008,0.016,21.552,0.826,0.109 
1998,10,20,250,3.001836e-06,5.000000e-04,1.000000e+00,21854853.632,1.000,0.008,0.016,21.552,0.826,0.111 
1998,10,20,250,2.768287e-06,5.000000e-04,1.000000e+00,21860637.197,1.000,0.008,0.016,21.552,0.826,0.109 
1998,10,20,250,2.552908e-06,5.000000e-04,1.000000e+00,21864494.459,1.000,0.008,0.016,21.552,0.826,0.110 
1998,10,20,250,2.354286e-06,5.000000e-04,1.000000e+00,21872517.432,1.000,0.008,0.016,21.552,0.826,0.108 
1998,10,20,250,2.171118e-06,5.000000e-04,1.000000e+00,21869434.621,1.000,0.008,0.016,21.552,0.826,0.108 
1998,10,20,250,2.002200e-06,5.000000e-04,1.000000e+00,21866659.430,1.000,0.008,0.016,21.552,0.826,0.109 
1998,10,20,250,1.846425e-06,5.000000e-04,1.000000e+00,21866946.193,1.000,0.008,0.016,21.552,0.826,0.107 
1998,10,20,250,1.702769e-06,5.000000e-04,1.000000e+00,21862644.826,0.998,0.008,0.016,21.552,0.826,0.107 
1998,10,20,250,1.570290e-06,5.000000e-04,1.000000e+00,21864466.597,0.998,0.008,0.016,21.552,0.826,0.108 
1998,10,20,250,1.448118e-06,5.000000e-04,1.000000e+00,21869042.185,1.000,0.008,0.016,21.552,0.826,0.107 
1998,10,20,250,1.335452e-06,5.000000e-04,1.000000e+00,21869334.872,1.000,0.008,0.016,21.552,0.826,0.106 
1998,10,20,250,1.231551e-06,5.000000e-04,1.000000e+00,21865650.669,1.000,0.008,0.016,21.552,0.826,0.107 
1998,10,20,250,1.135733e-06,5.000000e-04,1.000000e+00,21863498.533,1.000,0.008,0.016,21.552,0.826,0.106 
1998,10,20,250,1.047371e-06,5.000000e-04,1.000000e+00,21863183.536,1.000,0.008,0.016,21.552,0.826,0.106 
1998,10,20,250,9.658832e-07,5.000000e-04,1.000000e+00,21866541.003,1.000,0.008,0.016,21.552,0.826,0.106 
1998,10,20,250,8.907355e-07,5.000000e-04,1.000000e+00,21869593.318,1.000,0.008,0.016,21.552,0.826,0.106 
1998,10,20,250,8.214344e-07,5.000000e-04,1.000000e+00,21869586.310,1.000,0.008,0.016,21.552,0.826,0.105 
1998,10,20,250,7.575250e-07,5.000000e-04,1.000000e+00,21870191.515,1.000,0.008,0.016,21.552,0.826,0.106 
1998,10,20,250,6.985880e-07,5.000000e-04,1.000000e+00,21870185.812,1.000,0.008,0.016,21.552,0.826,0.106 
1998,10,20,250,6.442364e-07,5.000000e-04,1.000000e+00,21868038.185,1.000,0.008,0.016,21.552,0.826,0.105 
1998,10,20,250,5.941134e-07,5.000000e-04,1.000000e+00,21867727.279,1.000,0.008,0.016,21.552,0.826,0.104 
1998,10,20,250,5.478901e-07,5.000000e-04,1.000000e+00,21867416.106,1.000,0.008,0.016,21.552,0.826,0.104 
1998,10,20,250,5.052631e-07,5.000000e-04,1.000000e+00,21865881.671,1.000,0.008,0.016,21.552,0.826,0.104 
1998,10,20,250,4.659526e-07,5.000000e-04,1.000000e+00,21865571.655,1.000,0.008,0.016,21.552,0.826,0.104 
1998,10,20,250,4.297005e-07,5.000000e-04,1.000000e+00,21864956.023,1.000,0.008,0.016,21.552,0.826,0.104 
1998,10,20,250,3.962689e-07,5.000000e-04,1.000000e+00,21864646.628,1.000,0.008,0.016,21.552,0.826,0.104 
1998,10,20,250,3.654383e-07,5.000000e-04,1.000000e+00,21864031.816,1.000,0.008,0.016,21.552,0.826,0.103 
1998,10,20,250,3.370064e-07,5.000000e-04,1.000000e+00,21865559.396,1.000,0.008,0.016,21.552,0.826,0.103 
1998,10,20,250,3.107866e-07,5.000000e-04,1.000000e+00,21864638.279,1.000,0.008,0.016,21.552,0.826,0.103 
1998,10,20,250,2.866068e-07,5.000000e-04,1.000000e+00,21866777.961,1.000,0.008,0.016,21.552,0.826,0.102 
1998,10,20,250,2.643081e-07,5.000000e-04,1.000000e+00,21866775.788,1.000,0.008,0.016,21.552,0.826,0.103 
1998,10,20,250,2.437444e-07,5.000000e-04,1.000000e+00,21866773.667,1.000,0.008,0.016,21.552,0.826,0.103 
1998,10,20,250,2.247806e-07,5.000000e-04,1.000000e+00,21867996.046,1.000,0.008,0.016,21.552,0.826,0.101 
1998,10,20,250,2.072922e-07,5.000000e-04,1.000000e+00,21867382.198,1.000,0.008,0.016,21.552,0.826,0.101 
1998,10,20,250,1.911644e-07,5.000000e-04,1.000000e+00,21867074.699,1.000,0.008,0.016,21.552,0.826,0.101 
1998,10,20,250,1.762914e-07,5.000000e-04,1.000000e+00,21867379.417,1.000,0.008,0.016,21.552,0.826,0.102 
1998,10,20,250,1.625756e-07,5.000000e-04,1.000000e+00,21867378.091,1.000,0.008,0.016,21.552,0.826,0.102 
1998,10,20,250,1.499268e-07,5.000000e-04,1.000000e+00,21867376.855,1.000,0.008,0.016,21.552,0.826,0.100 
1998,10,20,250,1.382622e-07,5.000000e-04,1.000000e+00,21867376.010,1.000,0.008,0.016,21.552,0.826,0.100 
1998,10,20,250,1.275051e-07,5.000000e-04,1.000000e+00,21867069.116,1.000,0.008,0.016,21.552,0.826,0.100 
1998,10,20,250,1.175850e-07,5.000000e-04,1.000000e+00,21866762.549,1.000,0.008,0.016,21.552,0.826,0.101 
1998,10,20,250,1.084366e-07,5.000000e-04,1.000000e+00,21866455.998,1.000,0.008,0.016,21.552,0.826,0.100 
1998,10,20,250,1.000000e-07,5.000000e-04,1.000000e+00,21867067.648,1.000,0.008,0.016,21.552,0.826,0.101 
