T,p,N,Lamb1,Lamb2,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
3,65,200,0.00547890117959395,1,0.221757322175732,0.230434782608696,0.226012793176972,0.223484848484848,0.256521739130435,0.238866396761134,0.225694444444444,0.282608695652174,0.250965250965251,0.223645538368342,0.256521739130435,0.238614813634452,354650.657002977,10.736,3030
3,65,200,0.00499450511585514,1,0.251046025104602,0.231660231660232,0.240963855421687,0.253787878787879,0.258687258687259,0.256214149139579,0.246527777777778,0.274131274131274,0.259597806215722,0.250453893890086,0.254826254826255,0.252258603592329,403906.235015278,10.762,3402
3,65,200,0.00455293507486695,1,0.297071129707113,0.242320819112628,0.266917293233083,0.291666666666667,0.262798634812287,0.276481149012567,0.288194444444444,0.283276450511945,0.285714285714286,0.292310746939408,0.262798634812287,0.276370909319979,457939.444868487,10.711,3810
3,65,200,0.00415040475785047,1,0.334728033472803,0.242424242424242,0.281195079086116,0.321969696969697,0.257575757575758,0.286195286195286,0.319444444444444,0.278787878787879,0.297734627831715,0.325380724962315,0.25959595959596,0.288374997704372,512772.639533917,10.789,4224
3,65,200,0.00378346261713193,1,0.376569037656904,0.247252747252747,0.298507462686567,0.359848484848485,0.260989010989011,0.302547770700637,0.364583333333333,0.288461538461538,0.322085889570552,0.367000285279574,0.265567765567766,0.307713707652585,570792.932596183,10.685,4662
3,65,200,0.00344896226040576,1,0.418410041841004,0.25062656641604,0.313479623824451,0.40530303030303,0.268170426065163,0.322775263951735,0.416666666666667,0.300751879699248,0.349344978165939,0.4134599129369,0.273182957393484,0.328533288647375,626429.782069114,10.738,5082
3,65,200,0.0031440354715915,1,0.447698744769874,0.246543778801843,0.317979197622585,0.431818181818182,0.262672811059908,0.326647564469914,0.444444444444444,0.294930875576037,0.354570637119114,0.441320457010834,0.268049155145929,0.333065799737204,678888.054246161,10.748,5478
3,65,200,0.00286606761694825,1,0.510460251046025,0.261241970021413,0.345609065155807,0.492424242424242,0.278372591006424,0.355677154582763,0.496527777777778,0.306209850107066,0.378807947019868,0.499804090416015,0.281941470378301,0.360031388919479,725780.833239539,10.733,5832
3,65,200,0.00261267522556333,1,0.535564853556485,0.258585858585859,0.348773841961853,0.511363636363636,0.272727272727273,0.355731225296443,0.520833333333333,0.303030303030303,0.383141762452107,0.522587274417818,0.278114478114478,0.362548943236801,779044.434625137,10.756,6234
3,65,200,0.00238168555197616,1,0.556485355648536,0.25381679389313,0.348623853211009,0.537878787878788,0.270992366412214,0.360406091370558,0.552083333333333,0.303435114503817,0.391625615763547,0.548815825620219,0.276081424936387,0.366885186781705,835496.025224091,10.66,6660
