rd_seed,Alg,t,p,n,Cat,nu_0,mu,gamma,precision,recall,F1,Time,BIC,BIC_mean
1339,Cat_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.8820564516129032,0.5997258396161754,0.7139942880456956, ,3725167.781376078,
1339,Cat_alg,5,250,5000.0,Cat2,0.0005,0.001,1,0.905977165883143,0.5540041067761807,0.6875637104994904, ,6217566.664266796,
1339,Cat_alg,10,250,5000.0,Cat2,0.0005,0.001,1,0.9007962840079629,0.5578385042120403,0.6889988580129426, ,12438286.576143324,
1339,Cat_alg,20,250,5000.0,Cat2,0.0005,0.001,1,0.9049910873440286,0.5223788455602428,0.6624045926022573, ,24940677.3901004,
1339,Cat_alg,50,250,5000.0,Cat2,0.0005,0.001,1,0.9097352024922118,0.4802055498458376,0.6286021794699315, ,62451832.35148821,
1339,Cat_alg,100,250,5000.0,Cat2,0.0005,0.001,1,0.9030490032885388,0.456941534163277,0.6068286294997886, ,124952144.97396667,
1340,Cat_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.8887775551102205,0.6079506511309116,0.7220187220187221, ,3729006.361344992,
1340,Cat_alg,5,250,5000.0,Cat2,0.0005,0.001,1,0.9114688128772636,0.5581108829568788,0.6923076923076923, ,6222118.221975926,
1340,Cat_alg,10,250,5000.0,Cat2,0.0005,0.001,1,0.9084768659236744,0.5527018697349496,0.6872764435360245, ,12451098.946893748,
1340,Cat_alg,20,250,5000.0,Cat2,0.0005,0.001,1,0.9088960342979636,0.5235106492437493,0.6643598615916955, ,24957010.57688349,
1340,Cat_alg,50,250,5000.0,Cat2,0.0005,0.001,1,0.9055359246171968,0.4740801644398766,0.6223421478683216, ,62471014.08304693,
1340,Cat_alg,100,250,5000.0,Cat2,0.0005,0.001,1,0.8987113091653619,0.4598792062122519,0.6084226833543969, ,124989913.42908695,
1341,Cat_alg,3,250,5000.0,Cat2,0.0005,0.001,1,0.8762278978388998,0.6113776559287183,0.7202260799354057, ,3726746.984795607,
1341,Cat_alg,5,250,5000.0,Cat2,0.0005,0.001,1,0.9047310434219054,0.573305954825462,0.7018602312719959, ,6223009.65352694,
1341,Cat_alg,10,250,5000.0,Cat2,0.0005,0.001,1,0.90265780730897,0.5582494349702075,0.6898565443696839, ,12450609.58923985,
1341,Cat_alg,20,250,5000.0,Cat2,0.0005,0.001,1,0.90484612663601,0.5263916040744933,0.665582514798673, ,24952966.79969297,
1341,Cat_alg,50,250,5000.0,Cat2,0.0005,0.001,1,0.9081830146318804,0.4822610483042138,0.629987648354009, ,62477592.28259877,
1341,Cat_alg,100,250,5000.0,Cat2,0.0005,0.001,1,0.9021704050346944,0.4594067135050741,0.6087986279367327, ,124974198.12928893,
