t,p,n,nu_0,mu,gamma,no_edges,bic value,precision,,,,,,,,precision_avg,recall,,,,,,,,recall_avg,F1,,,,,,,,F1_avg,Time(sec),mask_diag
8,65,2000,0.0005,0.32176417502507354,20,170.5,274818.99931957707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.7644593715667725,True
8,65,2000,0.0005,0.29331662783900453,20,178.5,274818.9993194473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.8030314445495605,True
8,65,2000,0.0005,0.26738416158399464,20,178.5,274818.9993194473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.848181247711182,True
8,65,2000,0.0005,0.24374441501222194,20,187.5,275028.9102480134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.895205974578857,True
8,65,2000,0.0005,0.22219468609395238,20,187.5,275028.9102480134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,4.94417142868042,True
8,65,2000,0.0005,0.20255019392306664,20,187.5,275028.9102480134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,5.023580312728882,True
8,65,2000,0.0005,0.18464249428955445,20,187.5,275028.9102480134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.0196078431372549,0.02564102564102564,0.01694915254237288,0.013888888888888888,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.019138755980861243,0.037037037037037035,0.038461538461538464,0.05,0.03333333333333333,0.0273972602739726,0.04081632653061225,0.04081632653061225,0.04081632653061225,0.037558685446009384,5.0428855419158936,True
8,65,2000,0.0005,0.16831803533309567,20,195.5,275101.80522634083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03773584905660377,0.0392156862745098,0.05128205128205128,0.03389830508474576,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.03827751196172249,0.07272727272727272,0.07547169811320754,0.09756097560975609,0.06557377049180328,0.05405405405405406,0.07999999999999999,0.07999999999999999,0.07999999999999999,0.07373271889400922,5.092187404632568,True
8,65,2000,0.0005,0.15343684089300116,20,195.5,275101.80522634083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03773584905660377,0.0392156862745098,0.05128205128205128,0.03389830508474576,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.03827751196172249,0.07272727272727272,0.07547169811320754,0.09756097560975609,0.06557377049180328,0.05405405405405406,0.07999999999999999,0.07999999999999999,0.07999999999999999,0.07373271889400922,5.159827709197998,True
8,65,2000,0.0005,0.13987131026472385,20,195.5,275101.80522634083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03773584905660377,0.0392156862745098,0.05128205128205128,0.03389830508474576,0.027777777777777776,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.03827751196172249,0.07272727272727272,0.07547169811320754,0.09756097560975609,0.06557377049180328,0.05405405405405406,0.07999999999999999,0.07999999999999999,0.07999999999999999,0.07373271889400922,5.213912725448608,True
