T,p,N,Lamb,Epsilon0,Recall_1,Precision_1,F1 score-1,Recall_2,Precision_2,F1 score-2,Recall_3,Precision_3,F1 score-3,Recall_avg,Precision_avg,F1 score-avg, BIC,runtime(s), total edges(directed)
1,65,200,2.02550193923067,0.1,0.00836820083682008,0.2,0.0160642570281124,0.0189393939393939,0.454545454545455,0.0363636363636364,0.0902777777777778,0.337662337662338,0.142465753424658,0.0391951241846639,0.330735930735931,0.0649645489388021,44846.0586883155,0.509,342
1,65,200,1.84642494289554,0.1,0.00836820083682008,0.181818181818182,0.016,0.0189393939393939,0.454545454545455,0.0363636363636364,0.0902777777777778,0.317073170731707,0.140540540540541,0.0391951241846639,0.317812269031781,0.0643013923013923,48813.5253618168,0.509999999999998,374
1,65,200,1.68318035333096,0.1,0.0125523012552301,0.1875,0.0235294117647059,0.0189393939393939,0.454545454545455,0.0363636363636364,0.09375,0.310344827586207,0.144,0.0417472317315414,0.31746342737722,0.0679643493761141,54398.9725292525,0.535999999999994,418
1,65,200,1.53436840893001,0.1,0.0125523012552301,0.130434782608696,0.0229007633587786,0.0265151515151515,0.4375,0.05,0.09375,0.306818181818182,0.143617021276596,0.0442724842567939,0.291584321475626,0.0721725948784581,61861.3480789861,0.486000000000004,476
1,65,200,1.39871310264724,0.1,0.0167364016736402,0.16,0.0303030303030303,0.0303030303030303,0.380952380952381,0.056140350877193,0.107638888888889,0.329787234042553,0.162303664921466,0.0515594402885198,0.290246538331645,0.0829156820338964,68555.9075927524,0.499000000000002,528
1,65,200,1.27505124071301,0.1,0.0251046025104603,0.206896551724138,0.0447761194029851,0.0303030303030303,0.307692307692308,0.0551724137931034,0.118055555555556,0.323809523809524,0.173027989821883,0.057821062789682,0.27946612774199,0.0909921743393238,81347.8353124571,0.498999999999995,626
1,65,200,1.16232246867985,0.1,0.0251046025104603,0.193548387096774,0.0444444444444444,0.0416666666666667,0.34375,0.0743243243243243,0.131944444444444,0.336283185840708,0.189526184538653,0.0662385712071905,0.291193857645827,0.102764984435807,91253.418139921,0.502000000000002,702
1,65,200,1.05956017927762,0.1,0.0376569037656904,0.243243243243243,0.0652173913043478,0.0568181818181818,0.340909090909091,0.0974025974025974,0.138888888888889,0.333333333333333,0.196078431372549,0.0777879914909204,0.305828555828556,0.119566140026498,103289.451005138,0.506999999999998,794
1,65,200,0.96588322411587,0.1,0.0376569037656904,0.230769230769231,0.0647482014388489,0.0568181818181818,0.3125,0.0961538461538461,0.152777777777778,0.341085271317829,0.211031175059952,0.08241762112055,0.29478483402902,0.123977740884216,114283.679659116,0.503,878
1,65,200,0.880488358164346,0.1,0.0376569037656904,0.219512195121951,0.0642857142857143,0.0681818181818182,0.346153846153846,0.113924050632911,0.170138888888889,0.35,0.228971962616822,0.0919925369454658,0.305222013758599,0.135727242511816,125291.039039569,0.546000000000006,962
