t,p,n,nu_0,mu,gamma,no_edges,bic value,precision_avg,recall_avg,F1_avg,Time(sec),mask_diag
10,100,2500,1e-05,0.9047357242349302,10,23880.0,1386852.9243188815,0.1455173040239804,0.418167580266249,0.21590296495956876,17.36999201774597,True
10,100,2500,1e-05,0.8376776400682924,10,24410.0,1400661.4837345025,0.14506254990684056,0.4267815191855912,0.21652761223678982,17.072267770767212,True
10,100,2500,1e-05,0.775589832338901,10,24886.0,1412750.9295901204,0.1456665506439262,0.43696162881754114,0.21849507276642952,17.119946002960205,True
10,100,2500,1e-05,0.7181039092537357,10,25366.0,1425015.8568775058,0.14521761349118473,0.44505351083268074,0.21898278962239917,17.131521701812744,True
10,100,2500,1e-05,0.6648787838417269,10,25796.0,1435799.0745126782,0.1449251108693833,0.45210127903941527,0.2194905588645292,17.256382703781128,True
10,100,2500,1e-05,0.6155986501483515,10,26229.0,1447040.6959230704,0.14504319210201563,0.46019316105455493,0.22056799699737273,17.377329349517822,True
10,100,2500,1e-05,0.5699711094326075,10,26702.0,1459413.33903319,0.1452121212121212,0.46906812842599843,0.22176971492039985,17.30376887321472,True
10,100,2500,1e-05,0.5277254352483538,10,27119.0,1469884.0024655908,0.14541404820618883,0.4771600104411381,0.22289964638458723,17.375438928604126,True
10,100,2500,1e-05,0.48861096711603264,10,27543.0,1480401.7985221685,0.14543457797301537,0.4839467501957713,0.22365643283672115,17.40231490135193,True
10,100,2500,1e-05,0.45239562325380533,10,27976.0,1491388.7099246138,0.14514885084066018,0.49125554685460715,0.22408763469667198,17.3646559715271,True
10,100,2500,1e-05,0.4188645235435271,10,28420.0,1502817.8181767012,0.1451319381255687,0.49960845732184805,0.22492508372994888,17.56138825416565,True
10,100,2500,1e-05,0.38781871456107236,10,28948.0,1516200.0900411594,0.1444742329460828,0.5063951970764813,0.2248102439307028,17.509758710861206,True
10,100,2500,1e-05,0.3590739891061055,10,29377.0,1526616.2261083836,0.14479571627668159,0.5152701644479248,0.2260650480989464,17.528005838394165,True
10,100,2500,1e-05,0.3324597932270942,10,29824.0,1537944.2327853648,0.14544663573085848,0.5236230749151658,0.22765703909663512,17.62708353996277,True
10,100,2500,1e-05,0.307818214256508,10,30236.0,1548056.6276214023,0.14573222951755638,0.5330200991908118,0.2288852771394945,17.725467920303345,True
