t,p,n,nu_0,mu,gamma,no_edges,bic value,precision_avg,recall_avg,F1_avg,Time(sec),mask_diag
10,100,2500,0.005,0.04848626481239078,10,350.0,743577.6965529489,nan,0.0,nan,8.99453091621399,True
10,100,2500,0.005,0.04489251258218608,10,350.0,743577.6965529489,nan,0.0,nan,8.964567422866821,True
10,100,2500,0.005,0.04156512558225988,10,350.0,743577.6965529489,nan,0.0,nan,8.945336103439331,True
10,100,2500,0.005,0.03848436109487433,10,350.0,743577.6965529489,nan,0.0,nan,8.884174585342407,True
10,100,2500,0.005,0.03563193971228584,10,350.0,743577.6965529489,nan,0.0,nan,8.967599153518677,True
10,100,2500,0.005,0.032990936877709424,10,350.0,743577.6965529489,nan,0.0,nan,8.661424160003662,True
10,100,2500,0.005,0.03054568246515432,10,350.0,743577.6965529489,nan,0.0,nan,8.708556652069092,True
10,100,2500,0.005,0.02828166780230035,10,350.0,743577.6965529489,nan,0.0,nan,9.040976285934448,True
10,100,2500,0.005,0.02618545958474233,10,350.0,743577.6965529489,nan,0.0,nan,8.313026189804077,True
10,100,2500,0.005,0.02424462017082331,10,350.0,743577.6965529489,nan,0.0,nan,8.228551864624023,True
10,100,2500,0.005,0.02244763378413224,10,350.0,743577.6965529489,nan,0.0,nan,8.220757961273193,True
10,100,2500,0.005,0.020783838185797595,10,350.0,743577.6965529489,nan,0.0,nan,8.202165365219116,True
10,100,2500,0.005,0.0192433614111598,10,350.0,743577.6965529489,nan,0.0,nan,8.995858669281006,True
10,100,2500,0.005,0.017817063195457325,10,350.0,743577.6965529489,nan,0.0,nan,8.311655044555664,True
10,100,2500,0.005,0.016496480740980205,10,350.0,743577.6965529489,nan,0.0,nan,8.521667003631592,True
10,100,2500,0.005,0.015273778503907156,10,350.0,743577.6965529489,nan,0.0,nan,8.241191148757935,True
10,100,2500,0.005,0.014141701702890239,10,350.0,743577.6965529489,nan,0.0,nan,8.562061309814453,True
10,100,2500,0.005,0.013093533273536122,10,350.0,743577.6965529489,nan,0.0,nan,8.985821962356567,True
10,100,2500,0.005,0.012123054013376528,10,350.0,743577.6965529489,nan,0.0,nan,8.837889194488525,True
10,100,2500,0.005,0.011224505680853081,10,350.0,743577.6965529489,nan,0.0,nan,9.017752885818481,True
10,100,2500,0.005,0.010392556829367131,10,350.0,743577.6965529489,nan,0.0,nan,9.288604259490967,True
10,100,2500,0.005,0.009622271173675135,10,350.0,743577.6965529489,nan,0.0,nan,8.902099847793579,True
10,100,2500,0.005,0.008909078300934143,10,350.0,743577.6965529489,nan,0.0,nan,9.039426803588867,True
10,100,2500,0.005,0.008248746552614582,10,350.0,743577.6965529489,nan,0.0,nan,9.051940202713013,True
10,100,2500,0.005,0.007637357916378027,10,350.0,743577.6965529489,nan,0.0,nan,8.845417022705078,True
10,100,2500,0.005,0.007071284778942996,10,350.0,743577.6965529489,nan,0.0,nan,8.969727993011475,True
10,100,2500,0.005,0.006547168402004743,10,350.0,743577.6965529489,nan,0.0,nan,9.199604034423828,True
10,100,2500,0.005,0.006061898993497572,10,350.0,743577.6965529489,nan,0.0,nan,8.954792737960815,True
10,100,2500,0.005,0.005612597255954977,10,350.0,743577.6965529489,nan,0.0,nan,8.832033395767212,True
10,100,2500,0.005,0.005196597302486197,10,350.0,743577.6965529489,nan,0.0,nan,9.147155523300171,True
10,100,2500,0.005,0.004811430839003265,10,350.0,743577.6965529489,nan,0.0,nan,9.053199291229248,True
10,100,2500,0.005,0.0044548125188449885,10,350.0,743577.6965529489,nan,0.0,nan,8.870750665664673,True
10,100,2500,0.005,0.004124626382901357,10,350.0,743577.6965529489,nan,0.0,nan,8.926684617996216,True
10,100,2500,0.005,0.003818913304781854,10,350.0,743577.6965529489,nan,0.0,nan,8.786959886550903,True
10,100,2500,0.005,0.003535859366535183,10,350.0,743577.6965529489,nan,0.0,nan,8.972130537033081,True
10,100,2500,0.005,0.003273785095948577,10,350.0,743577.6965529489,nan,0.0,nan,8.943170309066772,True
10,100,2500,0.005,0.0030311355015675825,10,350.0,743577.6965529489,nan,0.0,nan,8.923434972763062,True
10,100,2500,0.005,0.0028064708463098388,10,350.0,743577.6965529489,nan,0.0,nan,9.133781671524048,True
10,100,2500,0.005,0.0025984581049292525,10,350.0,743577.6965529489,nan,0.0,nan,8.88886833190918,True
10,100,2500,0.005,0.002405863054644067,10,350.0,743577.6965529489,nan,0.0,nan,9.096650123596191,True
10,100,2500,0.005,0.002227542951999561,10,350.0,743577.6965529489,nan,0.0,nan,8.95399808883667,True
10,100,2500,0.005,0.002062439752514093,10,350.0,743577.6965529489,nan,0.0,nan,8.833716630935669,True
10,100,2500,0.005,0.0019095738328780967,10,350.0,743577.6965529489,nan,0.0,nan,9.242863416671753,True
