T,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
1,65,2000,0.0124588336429501,0.1,0.995215311004785,0.0562314138956475,0.106448311156602,4258178.96916908,1.16899999999998,7398
1,65,2000,0.0113573335834311,0.1,0.997607655502392,0.0561767479455746,0.106363984185691,4270331.26101281,1.10299999999998,7423
1,65,2000,0.0103532184329566,0.1,0.997607655502392,0.056033324375168,0.106106870229008,4279577.61561615,1.114,7442
1,65,2000,0.00943787827777537,0.1,0.997607655502392,0.0558457211731619,0.10577045022194,4288559.7773541,1.12200000000001,7467
1,65,2000,0.00860346441668451,0.1,0.997607655502392,0.0556519418123582,0.105422828972317,4299655.31704405,1.13300000000001,7493
1,65,2000,0.00784282206133768,0.1,0.997607655502392,0.0555111821086262,0.105170239596469,4308109.09691778,1.09800000000001,7512
1,65,2000,0.00714942898659758,0.1,0.997607655502392,0.0553858414132023,0.104945262363156,4317091.21019368,1.12100000000001,7529
1,65,2000,0.00651733960488242,0.1,0.997607655502392,0.0552830438817447,0.104760708453712,4322110.69324348,1.12800000000001,7543
1,65,2000,0.00594113398496503,0.1,0.997607655502392,0.0552610654651471,0.104721245605224,4328451.03485925,1.13900000000001,7546
1,65,2000,0.00541587137807948,0.1,0.997607655502392,0.0551368504561682,0.104498183185065,4336376.4103216,1.101,7563
1,65,2000,0.004937047852839,0.1,0.997607655502392,0.0550204512468663,0.104289108415656,4342980.90230399,1.12,7579
1,65,2000,0.0045005576757005,0.1,1,0.0551233021231703,0.104486939132608,4345886.94222816,1.13899999999998,7583
1,65,2000,0.00410265810582719,0.1,1,0.0550579557428873,0.104369538077403,4349585.49535398,1.143,7592
1,65,2000,0.00373993730247879,0.1,1,0.0550362080315997,0.104330462997629,4353284.0392248,1.12100000000001,7595
1,65,2000,0.00340928506974681,0.1,1,0.055,0.104265402843602,4358039.27217667,1.131,7600
1,65,2000,0.00310786618778201,0.1,1,0.0549421661409043,0.104161475205582,4360945.27649587,1.15100000000001,7608
1,65,2000,0.00283309610183932,0.1,1,0.0548916611950098,0.104070708328146,4363851.27349429,1.101,7615
1,65,2000,0.00258261876068267,0.1,1,0.0548628428927681,0.104018912529551,4366228.91506361,1.11000000000001,7619
1,65,2000,0.00235428641432242,0.1,1,0.0548268625393494,0.103954240238747,4369663.24806602,1.17100000000002,7624
1,65,2000,0.00214614119785841,0.1,1,0.05478374836173,0.103876739562624,4372569.22667709,1.102,7630
1,65,2000,0.00195639834351706,0.1,1,0.0547622166906852,0.103838032542541,4374946.85136358,1.113,7633
1,65,2000,0.00178343087693191,0.1,1,0.0547478716437459,0.103812243884267,4377588.64570724,1.11999999999998,7635
1,65,2000,0.00162575566644379,0.1,1,0.0546905665314667,0.103709217218707,4378381.21499898,1.13399999999999,7643
1,65,2000,0.00148202070579886,0.1,1,0.0546905665314667,0.103709217218707,4379966.30347887,1.10299999999998,7643
1,65,2000,0.00135099352119803,0.1,1,0.0546905665314667,0.103709217218707,4381551.38831666,1.11099999999999,7643
1,65,2000,0.00123155060329283,0.1,1,0.0546619589381457,0.103657780533168,4382872.29542646,1.119,7647
1,65,2000,0.00112266777351081,0.1,1,0.054633381257352,0.103606394844466,4383929.02510381,1.13899999999998,7651
1,65,2000,0.00102341140210545,0.1,1,0.0546191036194956,0.103580721100235,4384457.40321267,1.10599999999999,7653
1,65,2000,0.000932930402628468,0.1,1,0.054590570719603,0.103529411764706,4385249.95315103,1.113,7657
1,65,2000,0.000850448934180267,0.1,1,0.0545763154458807,0.103503776154513,4385514.15198051,1.12799999999999,7659
1,65,2000,0.000775259748862946,0.1,1,0.0545620676151938,0.103478153236787,4386042.52306517,1.14500000000001,7661
1,65,2000,0.000706718127392749,0.1,1,0.0545620676151938,0.103478153236787,4386042.54342634,1.09900000000002,7661
1,65,2000,0.000644236350872137,0.1,1,0.0545549464891673,0.103465346534653,4386306.73639209,1.11000000000001,7662
1,65,2000,0.000587278661318948,0.1,1,0.0545549464891673,0.103465346534653,4387363.4508918,1.12100000000001,7662
1,65,2000,0.000535356667741072,0.1,1,0.0545549464891673,0.103465346534653,4388155.98951554,1.142,7662
1,65,2000,0.000488025158365443,0.1,1,0.0545549464891673,0.103465346534653,4389476.8755565,1.102,7662
