rd_seed,L,p,N,Lamb1,Lamb2,tau_sq,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime
1995,10,250,5000,0.001,0.1,2.70495973046313,0.999645485292569,0.100379709266712,0.182339962786011,0.761589335691064,0.468599650700641,351363561.560903,55.8209999999999
1995,10,250,5000,0.001,0.1,2.4658110758226,0.999783709644983,0.100389899560279,0.182359017420089,0.761407728641061,0.468440971137314,351364073.084176,55.4519999999998
1995,10,250,5000,0.001,0.1,2.24780583354873,0.99965966010094,0.100381000800779,0.182342232092451,0.761211320537653,0.4682677204504,351364632.107787,55.4480000000003
1995,10,250,5000,0.001,0.1,2.04907468981585,0.999686019047507,0.100384565111907,0.18234873395227,0.760999156292481,0.468078640905886,351365242.836664,55.5639999999999
1995,10,250,5000,0.001,0.1,1.86791359902078,0.999551778716476,0.100369115917414,0.182321017529865,0.760770262012565,0.467872381195465,351365909.80972,57.0369999999998
1995,10,250,5000,0.001,0.1,1.7027691722259,0.999544715617665,0.100374833751749,0.182330353176501,0.760523652449145,0.467647492235627,351366637.919431,56.431
1995,10,250,5000,0.001,0.1,1.55222535742705,0.99939155598756,0.100356968228499,0.182298370454007,0.760258339834907,0.467402423308326,351367432.431319,56.3379999999997
1995,10,250,5000,0.001,0.1,1.41499129743458,0.999398291516981,0.100347129037249,0.182282197322693,0.759973344170233,0.467135518668145,351368299.00304,55.8789999999999
1995,10,250,5000,0.001,0.1,1.28989026125331,0.999584672785817,0.100365519837883,0.182315623333333,0.759667704988389,0.46684501475786,351369243.702756,55.9459999999999
1995,10,250,5000,0.001,0.1,1.17584955405216,0.999407344018519,0.10035235663555,0.182290955904032,0.759340494590432,0.466529038191721,351370273.02644,55.5739999999996
1995,10,250,5000,0.001,0.1,1.07189131920513,0.99935747742611,0.100348723568107,0.182284155139362,0.75899083269264,0.466185604682579,351371393.913665,55.6999999999998
1995,10,250,5000,0.001,0.1,0.97712415353465,0.999472467368773,0.10036352846061,0.182310403016174,0.758617902372588,0.465812619104831,351372613.761416,55.5619999999999
1995,10,250,5000,0.001,0.1,0.890735463861044,0.999444157120758,0.100361406371588,0.18230630392799,0.75822096713513,0.465407876898976,351373940.435376,56.5030000000002
1995,10,250,5000,0.001,0.1,0.811984499318401,0.9994573425526,0.100359230647299,0.182303095030822,0.757799388848018,0.464969067034426,351375382.278121,56.4349999999999
1995,10,250,5000,0.001,0.1,0.740195999691564,0.999423493427876,0.100355831078739,0.182296984468566,0.757352646220767,0.464493776754156,351376948.113562,56.212
1995,10,250,5000,0.001,0.1,0.674754405311069,0.999348496176481,0.100349292711189,0.182284956393577,0.756880353423068,0.463979498326371,351378647.246968,55.9189999999999
1995,10,250,5000,0.001,0.1,0.61509857885805,0.999579276272859,0.100370577644012,0.182323812045973,0.756382278364918,0.463423638023729,351380489.459831,55.8150000000001
1995,10,250,5000,0.001,0.1,0.560716993820546,0.999685775927498,0.100379266728144,0.182340046331794,0.755858360095059,0.462823527538338,351382484.998804,55.6439999999998
1995,10,250,5000,0.001,0.1,0.511143348344017,0.999514753631479,0.100364157803324,0.182312177826251,0.755308724723757,0.462176438019918,351384644.557922,55.8429999999998
1995,10,250,5000,0.001,0.1,0.465952566866468,0.999459779976842,0.10035531309548,0.182296507944599,0.754733699247165,0.461479596894119,351386979.253277,55.607
1995,10,250,5000,0.001,0.1,0.42475715525369,0.0256931776645531,0.971733122472903,0.0500486074019383,0.723489030860096,0.298944123966316,351886540.399171,196.126
1995,10,250,5000,0.001,0.1,0.387203878181255,0.0255047525099399,0.971475627444019,0.0496906550653054,0.723487303276693,0.298858116322328,351886620.772821,196.743
