rd_seed,L,p,N,Lamb,Epsilon0,Recall,Precision,F1 score, max Error, norm Error, BIC,runtime(s)
1997,10,250,5000,0.127505124071301,0.1,0.471148318847723,0.141579507203417,0.217510173267536,0.866362472719393,2.03684306689028,117059506.06793,27.5999999999999
1997,10,250,5000,0.118953406737032,0.1,0.488598003161934,0.140042145925237,0.217490998143312,0.866654031884557,2.03997801116406,122145915.697276,27.5650000000001
1997,10,250,5000,0.110975249641207,0.1,0.507640680144123,0.139139669187961,0.218226782826271,0.866926032436291,2.04296318697827,127162957.274908,27.4259999999999
1997,10,250,5000,0.103532184329566,0.1,0.524501957639121,0.137701542261216,0.217957396150922,0.867179786661641,2.04580324473521,132222564.706639,27.8800000000001
1997,10,250,5000,0.0965883224115871,0.1,0.540346512391818,0.136032751818749,0.217181110022686,0.867416518763924,2.04850351185491,137386248.264253,27.7370000000001
1997,10,250,5000,0.0901101825166502,0.1,0.557459756941187,0.134813418960018,0.216959918554388,0.867637370782029,2.05106841143945,142529950.30387,27.6169999999997
1997,10,250,5000,0.0840665288561833,0.1,0.574336655859133,0.13353459909135,0.216537093895764,0.867843408115531,2.05350214154512,147765608.886049,27.5990000000002
1997,10,250,5000,0.0784282206133768,0.1,0.590482211215947,0.132185818786627,0.215866773520004,0.868035624666539,2.05580964262098,153001439.123756,27.7380000000003
1997,10,250,5000,0.073168071434272,0.1,0.605537435416525,0.130584456150779,0.214694331876064,0.868214947639958,2.05799601417058,158358453.3931,27.5899999999997
1997,10,250,5000,0.0682607183427239,0.1,0.621055193270455,0.129247925301182,0.213828183401824,0.868382242020821,2.06006610704199,163683347.866623,27.8219999999997
1997,10,250,5000,0.0636824994471859,0.1,0.636940514063691,0.128081734256133,0.213143569870316,0.868538314751621,2.06202477439511,168999308.329748,27.5060000000003
1997,10,250,5000,0.0594113398496503,0.1,0.652446066626899,0.126852271768955,0.212276285023884,0.868683918629423,2.06387660047548,174372888.465136,27.681
1997,10,250,5000,0.0554266452066311,0.1,0.667426062027875,0.125523267725179,0.211180752392791,0.868819755940055,2.06562615905379,179889804.898829,27.7220000000002
1997,10,250,5000,0.0517092024289676,0.1,0.682009932108946,0.12415701097712,0.209947166608475,0.86894648184884,2.0672780356461,185450205.327869,27.538
1997,10,250,5000,0.0482410870416537,0.1,0.697994632752183,0.123139203810118,0.209226425956619,0.869064707563356,2.06883668318875,191013741.319748,27.7180000000003
1997,10,250,5000,0.045005576757005,0.1,0.711193920941925,0.121756852778137,0.20779924365094,0.869175003283548,2.07030658418344,196498715.33533,27.5799999999999
1997,10,250,5000,0.0419870708444391,0.1,0.724838884340396,0.120490686246277,0.206517114225787,0.869277900954194,2.07169212470359,202025135.310535,27.8220000000001
1997,10,250,5000,0.0391710149080926,0.1,0.740209476310919,0.119525738913325,0.205704134395128,0.869373896831799,2.07299755180668,207669641.773777,27.6620000000003
1997,10,250,5000,0.0365438307095726,0.1,0.753585220828803,0.118349470682156,0.204459355139176,0.869463453879901,2.07422685170037,213201277.695191,27.7350000000001
1997,10,250,5000,0.0340928506974681,0.1,0.767369501450543,0.117354292785643,0.203463674988451,0.869547004003022,2.07538383575475,218693659.446434,27.6730000000002
1997,10,250,5000,0.0318062569279412,0.1,0.779490196847234,0.116135549669296,0.202040926481163,0.869624950130991,2.07647226634621,224144764.250351,27.5990000000002
1997,10,250,5000,0.0296730240818887,0.1,0.791513586087147,0.115099110849452,0.200861060983938,0.869697668163159,2.07749579139038,229377088.535877,27.5919999999996
1997,10,250,5000,0.0276828663039207,0.1,0.802707211881926,0.114047549788505,0.19960890389472,0.869765508782065,2.07845791520054,234492486.896157,27.4050000000002
1997,10,250,5000,0.0258261876068268,0.1,0.813084214650722,0.113071111618344,0.198422107209816,0.869828799145408,2.07936196493264,239304379.020005,27.7549999999997
1997,10,250,5000,0.0240940356023953,0.1,0.824161420297286,0.112226351511988,0.197441891531697,0.869887844464489,2.08021111729565,244132460.758848,27.4690000000001
1997,10,250,5000,0.0224780583354873,0.1,0.833497821763252,0.111300686226327,0.196268252003658,0.869942929476666,2.08100844024987,248767965.554091,27.5050000000001
1997,10,250,5000,0.0209704640132323,0.1,0.843854977191344,0.110535156050846,0.195356637030604,0.869994319818978,2.08175678691868,253439823.193773,27.3249999999998
1997,10,250,5000,0.0195639834351706,0.1,0.853195929422179,0.109821373633726,0.194486052484763,0.870042263309582,2.08245893636217,257651839.918221,27.375
1997,10,250,5000,0.0182518349431904,0.1,0.86237943553102,0.109170297771856,0.193698384088851,0.870086991143232,2.08311751718803,261745900.00796,27.4850000000001
1997,10,250,5000,0.017027691722259,0.1,0.87134716802408,0.108624107898892,0.193059753027186,0.8701287190065,2.08373510761618,265710906.857484,27.424
1997,10,250,5000,0.0158856512942805,0.1,0.880107572350461,0.108120839947479,0.1924763566895,0.870167648118175,2.08431406879962,269390537.570361,27.5419999999999
1997,10,250,5000,0.0148202070579886,0.1,0.886265150018323,0.10741961103927,0.191508928299708,0.870203966199834,2.08485666798348,272887658.528,27.625
1997,10,250,5000,0.0138262217376466,0.1,0.893630877225716,0.106968365936759,0.190960609321062,0.870237848381288,2.08536504142296,276194199.357785,27.337
1997,10,250,5000,0.0128989026125331,0.1,0.900570938921139,0.106497601422176,0.19036564323742,0.870269458045292,2.08584121842045,279485639.962068,27.4049999999997
1997,10,250,5000,0.0120337784077759,0.1,0.907254045607566,0.10608831002412,0.189858384486705,0.870298947615563,2.08628713112515,282482618.909762,27.3210000000004
1997,10,250,5000,0.0112266777351081,0.1,0.913230923312407,0.105684896358749,0.189340981754348,0.870326459291927,2.0867045927493,285311199.026148,27.3870000000002
1997,10,250,5000,0.0104737089795945,0.1,0.919065791180418,0.105324931554769,0.188887614936186,0.87035212573615,2.08709535268058,287980455.333406,27.4369999999999
1997,10,250,5000,0.0097712415353465,0.1,0.923705152606809,0.10491842616334,0.188330598896039,0.870376070711753,2.08746104168422,290449037.059793,27.3379999999997
