T,p,N,Lamb1,Lamb2,Recall,Precision,F1 score, BIC,runtime(s), total edges(directed)
10,200,2000,7.06718127392749e-05,0.001,0.904296337097218,0.121777992063198,0.21464993135909,134943908.259321,89.6700000000001,53926
10,200,2000,6.44236350872137e-05,0.001,0.90897824290829,0.121742498294019,0.214726021827172,135948457.311658,88.9010000000017,54221
10,200,2000,5.87278661318948e-05,0.001,0.912696226934729,0.121652625589633,0.214689448538343,136886792.52883,88.9880000000012,54483
10,200,2000,5.35356667741072e-05,0.001,0.917791242082071,0.121604116112317,0.214754071949864,137810599.548969,88.8780000000006,54809
10,200,2000,4.88025158365443e-05,0.001,0.923850179014046,0.121749387532892,0.215145830326936,138673036.741845,88.8639999999996,55105
10,200,2000,4.44878283112759e-05,0.001,0.928532084825117,0.121804945898589,0.21535906485045,139502369.443199,88.9449999999997,55359
10,200,2000,4.05546073584083e-05,0.001,0.933076287524098,0.121817920322163,0.215501065419966,140294559.008876,88.7529999999988,55624
10,200,2000,3.69691270719502e-05,0.001,0.936931974662627,0.121743486973948,0.215486935866983,141007609.618899,88.9189999999999,55888
10,200,2000,3.37006432927193e-05,0.001,0.940099146240705,0.121682559486677,0.215474931746808,141649596.75907,88.857,56105
10,200,2000,3.07211299886176e-05,0.001,0.944505645827596,0.121818666193056,0.21580379756792,142239094.774494,89.0280000000002,56305
10,200,2000,2.80050389418363e-05,0.001,0.949325254750757,0.122039298990972,0.216275567825323,142830212.485769,88.753999999999,56490
10,200,2000,2.55290806823952e-05,0.001,0.952354723216745,0.122078655652051,0.216415808742998,143392260.658114,88.7529999999988,56652
10,200,2000,2.32720247896041e-05,0.001,0.955108785458551,0.122069693769799,0.216472644424331,143916355.312326,88.9130000000005,56820
10,200,2000,2.12145178491063e-05,0.001,0.959239878821261,0.12223840525032,0.216843841927501,144423493.741509,88.723,56987
10,200,2000,1.93389175045523e-05,0.001,0.961580831726797,0.122270665896237,0.216954313143709,144851490.378122,88.7649999999994,57111
10,200,2000,1.76291411809595e-05,0.001,0.964059487744423,0.122307436976992,0.217075174798071,145297257.056145,89.0429999999997,57241
10,200,2000,1.60705281826164e-05,0.001,0.966125034425778,0.122332263914074,0.217166558331012,145696993.053627,89.0550000000003,57352
10,200,2000,1.46497139830728e-05,0.001,0.967639768658772,0.122317185677732,0.217181004775077,146039391.728317,88.646999999999,57449
10,200,2000,1.3354515629299e-05,0.001,0.969292206003856,0.122323787015154,0.217232972255655,146367255.723271,88.8950000000004,57544
10,200,2000,1.21738272773966e-05,0.001,0.970669237124759,0.122335994446373,0.217286766745785,146673316.441308,88.7610000000004,57620
10,200,2000,1.10975249641207e-05,0.001,0.972046268245662,0.122348169717138,0.217340435358231,146958381.31038,88.7250000000004,57696
10,200,2000,1.01163797976621e-05,0.001,0.973147893142385,0.122351108033241,0.21737258158777,147215989.366457,88.7490000000016,57760
10,200,2000,9.22197882333432e-06,0.001,0.974249518039108,0.122377319979935,0.217441413753362,147436449.255158,88.6370000000006,57813
10,200,2000,8.40665288561832e-06,0.001,0.975626549160011,0.122431699182637,0.217561529839861,147652064.881661,88.6130000000012,57869
10,200,2000,7.66341086800746e-06,0.001,0.976865877168824,0.122489855823189,0.217684152385044,147847491.709264,88.610999999999,57915
10,200,2000,6.98587974678525e-06,0.001,0.977692095841366,0.122500388205456,0.217721286088836,148021922.028413,88.6770000000015,57959
10,200,2000,6.36824994471859e-06,0.001,0.978380611401818,0.122493664120821,0.217727725427105,148169702.534533,88.5750000000007,58003
10,200,2000,5.8052255160949e-06,0.001,0.979069126962269,0.122486950229986,0.217734156088747,148332828.383972,88.6280000000006,58047
10,200,2000,5.29197873595844e-06,0.001,0.980033048746902,0.122527330636137,0.217821782178218,148487071.467708,88.5349999999999,58085
10,200,2000,4.82410870416537e-06,0.001,0.980446158083173,0.122507269567611,0.217800278368333,148620317.697418,88.5900000000001,58119
10,200,2000,4.39760360930272e-06,0.001,0.981823189204076,0.122599171208969,0.217979486082025,148728529.00013,88.5730000000003,58157
10,200,2000,4.00880632889846e-06,0.001,0.982511704764528,0.122632429273659,0.218049019008618,148840778.946322,88.5259999999998,58182
10,200,2000,3.65438307095725e-06,0.001,0.982787110988708,0.122612012094557,0.218023522223919,148943338.263656,88.3280000000013,58208
10,200,2000,3.33129478793467e-06,0.001,0.982924814100799,0.122570231471942,0.217960853766527,149042667.707583,88.4430000000011,58236
10,200,2000,3.03677111803546e-06,0.001,0.98333792343707,0.122573336308553,0.217975916118496,149129076.020859,88.3289999999997,58259
10,200,2000,2.76828663039207e-06,0.001,0.983751032773341,0.1225995778346,0.218027558634581,149200140.358014,88.3809999999994,58271
10,200,2000,2.52353917043477e-06,0.001,0.983888735885431,0.122599907342267,0.218031461222746,149275243.101653,89.110999999999,58279
10,200,2000,2.30043011977292e-06,0.001,0.984164142109612,0.122602669228394,0.218042589541766,149337424.597255,88.8590000000004,58294
10,200,2000,2.09704640132323e-06,0.001,0.984714954557973,0.122637626479163,0.218111389007503,149397183.624072,88.9159999999993,58310
10,200,2000,1.9116440753857e-06,0.001,0.984714954557973,0.122627111377862,0.218094758833127,149444021.34084,88.9159999999993,58315
10,200,2000,1.74263338600965e-06,0.001,0.984990360782154,0.122640377196742,0.218122493786878,149486013.729627,89.1059999999998,58325
10,200,2000,1.58856512942805e-06,0.001,0.985678876342605,0.122698755528129,0.218231707317073,149532044.375747,88.8209999999999,58338
10,200,2000,1.44811822767453e-06,0.001,0.985678876342605,0.122684034621647,0.218208422881705,149569999.243088,89.0259999999998,58345
10,200,2000,1.32008840083142e-06,0.001,0.985678876342605,0.1226735218509,0.218191794183991,149597455.508746,88.7710000000006,58350
10,200,2000,1.20337784077759e-06,0.001,0.985954282566786,0.122672057840903,0.218196224230142,149640256.383053,89.0390000000007,58367
10,200,2000,1.09698579789238e-06,0.001,0.986367391903057,0.122702434177844,0.218254391444111,149668520.615702,89.0379999999986,58377
10,200,2000,1e-06,0.001,0.986642798127238,0.122719876680654,0.218288726065167,149688708.99844,88.8000000000011,58385
1,200,2000,0.00695192796177561,0.001,0.217020104654365,0.136663198057579,0.167713099925508,24580031.9216927,109.264,11532
1,200,2000,0.00695192796177561,0.001,0.217020104654365,0.136663198057579,0.167713099925508,24580031.9216927,109.823,11532
1,200,2000,0.0297635144163132,0.001,0.0294684659873313,0.256287425149701,0.052859083611214,-2411175.09657188,176.023,835
1,200,2000,0.00545559478116852,0.001,0.244147617736161,0.132789095266627,0.172019016202581,29161035.6470502,106.393,13352
1,200,2000,5.45559478116851e-05,0.001,0.916827320297439,0.121620634224755,0.21475341096023,137621638.308592,90.771,54744
1,200,2000,0.0335981828628378,0.001,0.0145965298815753,0.249411764705882,0.027579029530376,-3480600.690951,162.694,425
